ID,Category,cluster_id
16852973,HR,3
22323967,HR,3
33176873,HR,3
27018550,HR,3
17812897,HR,3
11592605,HR,3
25824789,HR,3
15375009,HR,3
11847784,HR,3
32896934,HR,3
29149998,HR,3
11480899,HR,3
23155093,HR,3
11763983,HR,3
27490876,HR,3
32977530,HR,2
93002334,HR,3
24184357,HR,3
73077810,HR,3
13879043,HR,3
30163002,HR,3
18827609,HR,3
25676643,HR,3
12786012,HR,3
87968870,HR,3
46258701,HR,3
14225422,HR,3
29297973,HR,3
18334783,HR,3
19717385,HR,3
49937469,HR,3
18316239,HR,3
17855844,HR,3
57667857,HR,3
17422560,HR,3
32947778,HR,3
23914451,HR,3
21265194,HR,3
51769822,HR,3
19616406,HR,3
41523474,HR,3
59962788,HR,3
86184722,HR,3
28419173,HR,3
18155310,HR,3
26780935,HR,3
34554248,HR,3
26202430,HR,3
19867922,HR,3
91930382,HR,3
30646367,HR,3
39650734,HR,3
72231872,HR,3
13520837,HR,3
18422164,HR,3
30862904,HR,3
52979663,HR,3
28828844,HR,3
21830565,HR,3
27523575,HR,3
39081840,HR,3
20925036,HR,3
15576950,HR,3
29564653,HR,3
14886205,HR,3
17412079,HR,3
16861758,HR,3
93112113,HR,3
15041689,HR,3
80162314,HR,3
20993320,HR,3
14640322,HR,3
26289308,HR,3
23408537,HR,3
28808263,HR,3
18084150,HR,3
26671167,HR,3
44476983,HR,3
16877897,HR,3
29091445,HR,3
25724495,HR,3
24508725,HR,3
11698189,HR,3
27165830,HR,3
47470864,HR,3
34740556,HR,3
18557164,HR,3
19179079,HR,3
13376919,HR,3
26048718,HR,3
17150707,HR,3
18297650,HR,3
23510685,HR,3
39970711,HR,3
20806155,HR,3
28640735,HR,3
15575117,HR,8
27496514,HR,3
14256329,HR,3
19336728,HR,3
10694288,HR,3
28175164,HR,3
10399912,HR,3
20417897,HR,3
18731098,HR,3
30563572,HR,3
24402267,HR,3
32308556,HR,3
27847081,HR,3
25150191,HR,3
37058472,DESIGNER,0
68240723,DESIGNER,4
76010167,DESIGNER,4
19164410,DESIGNER,4
29147100,DESIGNER,4
25061645,DESIGNER,4
11919526,DESIGNER,6
81011612,DESIGNER,4
11722421,DESIGNER,0
13774329,DESIGNER,0
35990852,DESIGNER,1
36269672,DESIGNER,2
90066849,DESIGNER,8
27529455,DESIGNER,6
85101052,DESIGNER,1
22567495,DESIGNER,6
10751444,DESIGNER,0
11807040,DESIGNER,8
12415691,DESIGNER,1
38565119,DESIGNER,4
21705160,DESIGNER,4
26496059,DESIGNER,4
29524570,DESIGNER,8
15936656,DESIGNER,4
13557622,DESIGNER,4
41506705,DESIGNER,0
32954522,DESIGNER,2
44185767,DESIGNER,1
14014749,DESIGNER,4
34349255,DESIGNER,0
16288901,DESIGNER,4
25422388,DESIGNER,4
22496394,DESIGNER,0
38744475,DESIGNER,4
67582956,DESIGNER,0
26676567,DESIGNER,4
14724186,DESIGNER,4
10748989,DESIGNER,0
26924514,DESIGNER,9
12674307,DESIGNER,2
23951429,DESIGNER,4
26046064,DESIGNER,4
28326441,DESIGNER,4
78149576,DESIGNER,2
17555081,DESIGNER,6
39776400,DESIGNER,0
37263609,DESIGNER,0
13518263,DESIGNER,4
11155153,DESIGNER,0
54201930,DESIGNER,4
10466583,DESIGNER,2
26790545,DESIGNER,4
11958994,DESIGNER,2
30968749,DESIGNER,0
20932019,DESIGNER,0
51681660,DESIGNER,6
34657584,DESIGNER,0
15471999,DESIGNER,2
18979238,DESIGNER,0
26622051,DESIGNER,0
22675694,DESIGNER,4
25023614,DESIGNER,4
20390397,DESIGNER,0
17199951,DESIGNER,4
14743911,DESIGNER,9
24455357,DESIGNER,0
91153752,DESIGNER,4
14528265,DESIGNER,0
18460045,DESIGNER,4
20986595,DESIGNER,4
20748926,DESIGNER,2
32532982,DESIGNER,0
34317538,DESIGNER,1
19195747,DESIGNER,2
12547982,DESIGNER,0
94417768,DESIGNER,0
24655918,DESIGNER,4
27497542,DESIGNER,2
62312955,DESIGNER,4
22506245,DESIGNER,1
28663949,DESIGNER,4
39434376,DESIGNER,4
13998435,DESIGNER,4
30965258,DESIGNER,2
18835363,DESIGNER,6
26503829,DESIGNER,0
18198627,DESIGNER,0
39252859,DESIGNER,4
34051710,DESIGNER,6
37664296,DESIGNER,4
21916744,DESIGNER,4
15425154,DESIGNER,4
24285142,DESIGNER,4
24583187,DESIGNER,4
29865476,DESIGNER,2
25949631,DESIGNER,4
21283733,DESIGNER,4
51018476,DESIGNER,0
13014900,DESIGNER,4
44145704,DESIGNER,6
18795567,DESIGNER,4
42384185,DESIGNER,4
26942552,DESIGNER,2
67645662,DESIGNER,0
34511655,DESIGNER,4
37695494,DESIGNER,4
93301686,DESIGNER,0
36856210,INFORMATION-TECHNOLOGY,1
21780877,INFORMATION-TECHNOLOGY,1
33241454,INFORMATION-TECHNOLOGY,0
25990239,INFORMATION-TECHNOLOGY,6
16899268,INFORMATION-TECHNOLOGY,1
91635250,INFORMATION-TECHNOLOGY,1
19796840,INFORMATION-TECHNOLOGY,5
15651486,INFORMATION-TECHNOLOGY,1
52246737,INFORMATION-TECHNOLOGY,1
12045067,INFORMATION-TECHNOLOGY,1
13836471,INFORMATION-TECHNOLOGY,1
14789139,INFORMATION-TECHNOLOGY,8
36434348,INFORMATION-TECHNOLOGY,1
27536013,INFORMATION-TECHNOLOGY,1
18301617,INFORMATION-TECHNOLOGY,1
24913648,INFORMATION-TECHNOLOGY,1
26801767,INFORMATION-TECHNOLOGY,1
27372171,INFORMATION-TECHNOLOGY,1
91697974,INFORMATION-TECHNOLOGY,1
28672970,INFORMATION-TECHNOLOGY,1
66832845,INFORMATION-TECHNOLOGY,1
25207620,INFORMATION-TECHNOLOGY,1
41344156,INFORMATION-TECHNOLOGY,1
68460556,INFORMATION-TECHNOLOGY,4
10247517,INFORMATION-TECHNOLOGY,1
25959103,INFORMATION-TECHNOLOGY,1
13385306,INFORMATION-TECHNOLOGY,1
38753827,INFORMATION-TECHNOLOGY,1
17681064,INFORMATION-TECHNOLOGY,1
25905275,INFORMATION-TECHNOLOGY,2
11580408,INFORMATION-TECHNOLOGY,1
19201175,INFORMATION-TECHNOLOGY,1
12635195,INFORMATION-TECHNOLOGY,1
32959732,INFORMATION-TECHNOLOGY,1
17688766,INFORMATION-TECHNOLOGY,1
20024870,INFORMATION-TECHNOLOGY,8
22450718,INFORMATION-TECHNOLOGY,1
46260230,INFORMATION-TECHNOLOGY,1
10839851,INFORMATION-TECHNOLOGY,1
18752129,INFORMATION-TECHNOLOGY,6
37764298,INFORMATION-TECHNOLOGY,1
90867631,INFORMATION-TECHNOLOGY,1
17641670,INFORMATION-TECHNOLOGY,1
24889109,INFORMATION-TECHNOLOGY,1
24083609,INFORMATION-TECHNOLOGY,1
24038620,INFORMATION-TECHNOLOGY,1
29051656,INFORMATION-TECHNOLOGY,1
20237244,INFORMATION-TECHNOLOGY,1
20001721,INFORMATION-TECHNOLOGY,1
92069209,INFORMATION-TECHNOLOGY,1
13405733,INFORMATION-TECHNOLOGY,1
28697203,INFORMATION-TECHNOLOGY,1
28035460,INFORMATION-TECHNOLOGY,1
21283365,INFORMATION-TECHNOLOGY,1
17987433,INFORMATION-TECHNOLOGY,8
10553553,INFORMATION-TECHNOLOGY,1
15118506,INFORMATION-TECHNOLOGY,1
18176523,INFORMATION-TECHNOLOGY,1
24020470,INFORMATION-TECHNOLOGY,1
70089206,INFORMATION-TECHNOLOGY,1
27770859,INFORMATION-TECHNOLOGY,1
57002858,INFORMATION-TECHNOLOGY,1
13477922,INFORMATION-TECHNOLOGY,1
28126340,INFORMATION-TECHNOLOGY,1
37242217,INFORMATION-TECHNOLOGY,1
10089434,INFORMATION-TECHNOLOGY,1
11957080,INFORMATION-TECHNOLOGY,1
35325329,INFORMATION-TECHNOLOGY,8
10840430,INFORMATION-TECHNOLOGY,1
64017585,INFORMATION-TECHNOLOGY,1
19850482,INFORMATION-TECHNOLOGY,1
52618188,INFORMATION-TECHNOLOGY,1
28897981,INFORMATION-TECHNOLOGY,1
51639418,INFORMATION-TECHNOLOGY,1
20674668,INFORMATION-TECHNOLOGY,1
23527321,INFORMATION-TECHNOLOGY,1
18159866,INFORMATION-TECHNOLOGY,1
22776912,INFORMATION-TECHNOLOGY,1
23864648,INFORMATION-TECHNOLOGY,1
18187364,INFORMATION-TECHNOLOGY,1
83816738,INFORMATION-TECHNOLOGY,1
20824105,INFORMATION-TECHNOLOGY,1
33381211,INFORMATION-TECHNOLOGY,1
16533554,INFORMATION-TECHNOLOGY,1
20879311,INFORMATION-TECHNOLOGY,1
31111279,INFORMATION-TECHNOLOGY,4
17111768,INFORMATION-TECHNOLOGY,1
11584809,INFORMATION-TECHNOLOGY,1
20408458,INFORMATION-TECHNOLOGY,1
91121135,INFORMATION-TECHNOLOGY,3
24230851,INFORMATION-TECHNOLOGY,2
40018190,INFORMATION-TECHNOLOGY,1
16186411,INFORMATION-TECHNOLOGY,1
29975124,INFORMATION-TECHNOLOGY,1
26746496,INFORMATION-TECHNOLOGY,1
89413122,INFORMATION-TECHNOLOGY,0
12334140,INFORMATION-TECHNOLOGY,3
10641230,INFORMATION-TECHNOLOGY,1
10265057,INFORMATION-TECHNOLOGY,0
30223363,INFORMATION-TECHNOLOGY,1
15791766,INFORMATION-TECHNOLOGY,1
29075857,INFORMATION-TECHNOLOGY,6
12763627,INFORMATION-TECHNOLOGY,1
39718499,INFORMATION-TECHNOLOGY,9
27058381,INFORMATION-TECHNOLOGY,1
25857360,INFORMATION-TECHNOLOGY,8
26768723,INFORMATION-TECHNOLOGY,1
31243710,INFORMATION-TECHNOLOGY,1
15297298,INFORMATION-TECHNOLOGY,8
27295996,INFORMATION-TECHNOLOGY,1
39413067,INFORMATION-TECHNOLOGY,1
48037995,INFORMATION-TECHNOLOGY,8
15802627,INFORMATION-TECHNOLOGY,1
51363762,INFORMATION-TECHNOLOGY,1
18067556,INFORMATION-TECHNOLOGY,1
27485716,INFORMATION-TECHNOLOGY,1
26480367,INFORMATION-TECHNOLOGY,1
81761658,INFORMATION-TECHNOLOGY,1
79541391,INFORMATION-TECHNOLOGY,1
23666211,INFORMATION-TECHNOLOGY,3
12467531,TEACHER,6
19918523,TEACHER,6
62184086,TEACHER,6
28063132,TEACHER,8
29797594,TEACHER,6
22408666,TEACHER,6
13087952,TEACHER,6
15850434,TEACHER,6
28772892,TEACHER,6
33704389,TEACHER,6
16210888,TEACHER,6
38750659,TEACHER,6
90363254,TEACHER,6
66906212,TEACHER,6
34745915,TEACHER,6
34689720,TEACHER,6
48547319,TEACHER,6
19464810,TEACHER,6
28086303,TEACHER,6
13855004,TEACHER,6
35421497,TEACHER,6
69005326,TEACHER,8
18001081,TEACHER,6
14958913,TEACHER,6
13296856,TEACHER,6
63391085,TEACHER,6
23939133,TEACHER,6
96547039,TEACHER,6
22807104,TEACHER,6
23628651,TEACHER,6
29486525,TEACHER,6
22510753,TEACHER,6
21773106,TEACHER,6
34465087,TEACHER,6
24791126,TEACHER,7
15899269,TEACHER,6
37402097,TEACHER,8
36206485,TEACHER,6
36569713,TEACHER,6
28013287,TEACHER,6
29267293,TEACHER,6
45286020,TEACHER,6
13330982,TEACHER,6
22551979,TEACHER,6
29639533,TEACHER,6
49285644,TEACHER,6
16270906,TEACHER,6
27531694,TEACHER,6
74816727,TEACHER,6
23398843,TEACHER,6
31552617,TEACHER,6
19556300,TEACHER,6
66683238,TEACHER,6
17311685,TEACHER,6
17481570,TEACHER,6
22884757,TEACHER,6
58708773,TEACHER,6
10527994,TEACHER,6
69532425,TEACHER,6
20399718,TEACHER,6
19302310,TEACHER,6
51209395,TEACHER,6
22632070,TEACHER,6
22056333,TEACHER,6
11336022,TEACHER,6
11616482,TEACHER,6
34033933,TEACHER,8
21531811,TEACHER,6
20626794,TEACHER,6
58665241,TEACHER,6
37660306,TEACHER,4
13583538,TEACHER,6
20230207,TEACHER,6
28642819,TEACHER,6
16820422,TEACHER,6
29930479,TEACHER,6
25588694,TEACHER,6
86597425,TEACHER,6
10909720,TEACHER,6
28933005,TEACHER,6
53129155,TEACHER,6
11943065,TEACHER,6
45987048,TEACHER,6
99244405,TEACHER,6
32067700,TEACHER,6
27126818,TEACHER,6
19786924,TEACHER,6
70892619,TEACHER,6
25729119,TEACHER,6
58105060,TEACHER,6
12587973,TEACHER,6
21611212,TEACHER,6
21550454,TEACHER,6
86322251,TEACHER,6
22968380,TEACHER,6
10504237,TEACHER,6
24240349,TEACHER,6
20478831,TEACHER,6
79663360,TEACHER,6
76196367,TEACHER,6
27524018,TEACHER,6
27798860,TEACHER,6
14445309,ADVOCATE,8
35474904,ADVOCATE,8
37348041,ADVOCATE,3
89508407,ADVOCATE,6
25873425,ADVOCATE,8
31040875,ADVOCATE,8
11188218,ADVOCATE,2
73448369,ADVOCATE,8
42164460,ADVOCATE,2
18725071,ADVOCATE,6
28974459,ADVOCATE,8
38291889,ADVOCATE,8
12171093,ADVOCATE,2
13967854,ADVOCATE,8
90468982,ADVOCATE,2
49475708,ADVOCATE,2
54067174,ADVOCATE,8
49486820,ADVOCATE,8
38860712,ADVOCATE,8
16332348,ADVOCATE,8
34970271,ADVOCATE,8
14064815,ADVOCATE,8
12544735,ADVOCATE,8
20138606,ADVOCATE,8
36694627,ADVOCATE,8
29926588,ADVOCATE,8
28206098,ADVOCATE,2
20765795,ADVOCATE,8
20272792,ADVOCATE,6
20324037,ADVOCATE,2
53169257,ADVOCATE,8
24588864,ADVOCATE,3
11963737,ADVOCATE,8
13593241,ADVOCATE,6
22391901,ADVOCATE,2
10344379,ADVOCATE,8
74126637,ADVOCATE,8
26071861,ADVOCATE,1
24410405,ADVOCATE,2
14146106,ADVOCATE,2
74191424,ADVOCATE,8
10186968,ADVOCATE,8
20400279,ADVOCATE,2
23427369,ADVOCATE,8
95714702,ADVOCATE,2
18997135,ADVOCATE,8
11773767,ADVOCATE,8
78538268,ADVOCATE,4
13909762,ADVOCATE,2
20604208,ADVOCATE,8
72652441,ADVOCATE,8
24754689,ADVOCATE,2
75057933,ADVOCATE,8
19063156,ADVOCATE,8
91051945,ADVOCATE,5
14176254,ADVOCATE,8
22259475,ADVOCATE,8
37560528,ADVOCATE,8
23577836,ADVOCATE,8
36392131,ADVOCATE,8
32965335,ADVOCATE,1
21614256,ADVOCATE,8
97405769,ADVOCATE,2
95970987,ADVOCATE,8
17021141,ADVOCATE,8
15337481,ADVOCATE,2
75950464,ADVOCATE,6
19518606,ADVOCATE,2
15727656,ADVOCATE,8
31242382,ADVOCATE,2
29173771,ADVOCATE,3
19108760,ADVOCATE,8
14708590,ADVOCATE,8
77439230,ADVOCATE,8
40088790,ADVOCATE,2
22042181,ADVOCATE,8
29415426,ADVOCATE,2
37333719,ADVOCATE,8
15313140,ADVOCATE,8
13072354,ADVOCATE,8
20544228,ADVOCATE,8
30741799,ADVOCATE,8
17847636,ADVOCATE,8
80503242,ADVOCATE,8
26456474,ADVOCATE,8
10818478,ADVOCATE,2
24124250,ADVOCATE,8
37640804,ADVOCATE,8
27182111,ADVOCATE,8
11174187,ADVOCATE,8
47133747,ADVOCATE,8
10659182,ADVOCATE,8
35344611,ADVOCATE,3
13342150,ADVOCATE,8
28111403,ADVOCATE,4
34327438,ADVOCATE,5
15958967,ADVOCATE,8
13115648,ADVOCATE,8
46772262,ADVOCATE,8
38059130,ADVOCATE,3
24695561,ADVOCATE,8
93512385,ADVOCATE,4
38698573,ADVOCATE,3
18090899,ADVOCATE,4
23804341,ADVOCATE,2
29177904,ADVOCATE,5
17911230,ADVOCATE,9
19926135,ADVOCATE,8
44115326,ADVOCATE,1
75435017,ADVOCATE,8
19234823,ADVOCATE,5
13809698,ADVOCATE,8
17254634,ADVOCATE,8
28871170,ADVOCATE,6
24946537,ADVOCATE,2
28635795,ADVOCATE,8
24763208,ADVOCATE,2
17165107,ADVOCATE,9
65708020,BUSINESS-DEVELOPMENT,4
36805025,BUSINESS-DEVELOPMENT,1
13080868,BUSINESS-DEVELOPMENT,4
20748929,BUSINESS-DEVELOPMENT,1
26581830,BUSINESS-DEVELOPMENT,2
38688388,BUSINESS-DEVELOPMENT,2
25397102,BUSINESS-DEVELOPMENT,5
12059198,BUSINESS-DEVELOPMENT,8
10228751,BUSINESS-DEVELOPMENT,3
61677751,BUSINESS-DEVELOPMENT,2
20553895,BUSINESS-DEVELOPMENT,2
18757174,BUSINESS-DEVELOPMENT,4
14726000,BUSINESS-DEVELOPMENT,5
29208172,BUSINESS-DEVELOPMENT,1
40792022,BUSINESS-DEVELOPMENT,2
17095812,BUSINESS-DEVELOPMENT,2
27850777,BUSINESS-DEVELOPMENT,4
90629382,BUSINESS-DEVELOPMENT,4
34797369,BUSINESS-DEVELOPMENT,4
98379112,BUSINESS-DEVELOPMENT,2
37521676,BUSINESS-DEVELOPMENT,4
10501991,BUSINESS-DEVELOPMENT,2
18293620,BUSINESS-DEVELOPMENT,2
19557384,BUSINESS-DEVELOPMENT,4
15423153,BUSINESS-DEVELOPMENT,4
20357858,BUSINESS-DEVELOPMENT,4
12546838,BUSINESS-DEVELOPMENT,4
24647386,BUSINESS-DEVELOPMENT,4
23568641,BUSINESS-DEVELOPMENT,2
22423839,BUSINESS-DEVELOPMENT,4
19738730,BUSINESS-DEVELOPMENT,7
32531824,BUSINESS-DEVELOPMENT,1
34046031,BUSINESS-DEVELOPMENT,3
14825300,BUSINESS-DEVELOPMENT,4
37391947,BUSINESS-DEVELOPMENT,8
26896699,BUSINESS-DEVELOPMENT,4
11289482,BUSINESS-DEVELOPMENT,4
29908929,BUSINESS-DEVELOPMENT,8
10704573,BUSINESS-DEVELOPMENT,5
14990354,BUSINESS-DEVELOPMENT,4
24964303,BUSINESS-DEVELOPMENT,4
82118447,BUSINESS-DEVELOPMENT,4
18236085,BUSINESS-DEVELOPMENT,8
29825044,BUSINESS-DEVELOPMENT,4
77576845,BUSINESS-DEVELOPMENT,2
39237915,BUSINESS-DEVELOPMENT,2
28916894,BUSINESS-DEVELOPMENT,4
26278597,BUSINESS-DEVELOPMENT,4
80275976,BUSINESS-DEVELOPMENT,4
11088337,BUSINESS-DEVELOPMENT,4
23396633,BUSINESS-DEVELOPMENT,4
12814706,BUSINESS-DEVELOPMENT,2
39875803,BUSINESS-DEVELOPMENT,2
30938994,BUSINESS-DEVELOPMENT,4
16694152,BUSINESS-DEVELOPMENT,2
15233524,BUSINESS-DEVELOPMENT,4
81310245,BUSINESS-DEVELOPMENT,4
22025574,BUSINESS-DEVELOPMENT,8
13888506,BUSINESS-DEVELOPMENT,4
79759716,BUSINESS-DEVELOPMENT,4
10541358,BUSINESS-DEVELOPMENT,2
31638814,BUSINESS-DEVELOPMENT,4
25370801,BUSINESS-DEVELOPMENT,4
27796199,BUSINESS-DEVELOPMENT,8
10289113,BUSINESS-DEVELOPMENT,4
27219200,BUSINESS-DEVELOPMENT,4
10235211,BUSINESS-DEVELOPMENT,2
14287992,BUSINESS-DEVELOPMENT,5
47067533,BUSINESS-DEVELOPMENT,4
14241621,BUSINESS-DEVELOPMENT,2
27213082,BUSINESS-DEVELOPMENT,1
31813535,BUSINESS-DEVELOPMENT,1
17115815,BUSINESS-DEVELOPMENT,4
20317319,BUSINESS-DEVELOPMENT,4
38007664,BUSINESS-DEVELOPMENT,4
24412546,BUSINESS-DEVELOPMENT,2
29014805,BUSINESS-DEVELOPMENT,4
12377803,BUSINESS-DEVELOPMENT,5
32385553,BUSINESS-DEVELOPMENT,2
13199813,BUSINESS-DEVELOPMENT,4
11551946,BUSINESS-DEVELOPMENT,2
22765255,BUSINESS-DEVELOPMENT,4
20427934,BUSINESS-DEVELOPMENT,5
35673335,BUSINESS-DEVELOPMENT,4
16846478,BUSINESS-DEVELOPMENT,2
89197180,BUSINESS-DEVELOPMENT,2
36574147,BUSINESS-DEVELOPMENT,9
