antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'leadership', 'teamwork'})","frozenset({'time management', 'problem solving', 'communication'})",0.09541062801932366,0.12198067632850242,0.05475040257648953,0.5738396624472575,4.70434891590425,1.0,0.04311214964176527,2.060302769407376,0.8704841749784026,0.33663366336633666,0.5146344436125574,0.5113422734678532
"frozenset({'teamwork', 'problem solving'})","frozenset({'time management', 'leadership', 'communication'})",0.1034621578099839,0.1179549114331723,0.05475040257648953,0.5291828793774319,4.48631492277659,1.0,0.042546532915327985,1.8734346096006176,0.8667787051955941,0.3285024154589372,0.4662210280116572,0.4966733509515146
"frozenset({'leadership', 'teamwork', 'communication'})","frozenset({'time management', 'problem solving'})",0.08816425120772947,0.14090177133655393,0.05475040257648953,0.6210045662100456,4.4073581213307245,1.0,0.042327903412759535,2.2667772539433093,0.847857421114141,0.3140877598152425,0.5588450527018526,0.5047879973907371
"frozenset({'leadership', 'teamwork'})","frozenset({'time management', 'problem solving'})",0.09541062801932366,0.14090177133655393,0.05555555555555555,0.5822784810126582,4.132513562386981,1.0,0.042112029063299805,2.056629092860977,0.8379675315880111,0.30734966592427615,0.513767453999739,0.4882820976491863
"frozenset({'teamwork', 'problem solving', 'communication'})","frozenset({'time management', 'leadership'})",0.09702093397745572,0.13768115942028986,0.05475040257648953,0.5643153526970954,4.098711509063114,1.0,0.041392447898434034,1.9792270531400966,0.8372518423330099,0.3042505592841163,0.4947522577495728,0.48098808570527285
"frozenset({'teamwork', 'problem solving'})","frozenset({'time management', 'leadership'})",0.1034621578099839,0.13768115942028986,0.05555555555555555,0.5369649805447471,3.9000614376407943,1.0,0.041310765712151976,1.8623188405797102,0.8294059077331564,0.299349240780911,0.4630350194552529,0.47023687623728583
"frozenset({'leadership', 'teamwork', 'problem solving'})","frozenset({'time management', 'communication'})",0.08132045088566828,0.1747181964573269,0.05475040257648953,0.6732673267326733,3.85344709586166,1.0,0.04054224006264894,2.525862489630606,0.806039593751611,0.27199999999999996,0.6040956290751027,0.4933156910161063
frozenset({'word'}),"frozenset({'powerpoint', 'excel'})",0.1320450885668277,0.16143317230273752,0.07971014492753623,0.6036585365853658,3.739371084483912,1.0,0.058393687393197294,2.115768611420785,0.8440246622064803,0.3728813559322034,0.5273585237052563,0.5487120613101393
"frozenset({'problem solving', 'teamwork'})","frozenset({'time management', 'communication'})",0.1034621578099839,0.1747181964573269,0.06723027375201288,0.649805447470817,3.719162975846796,1.0,0.04915355213786915,2.356638039005188,0.815495188339083,0.3187022900763358,0.5756666983012242,0.5172990370994638
"frozenset({'word', 'communication'})","frozenset({'powerpoint', 'excel'})",0.10950080515297907,0.16143317230273752,0.06521739130434782,0.5955882352941176,3.689379492445357,1.0,0.047540328958798464,2.0735470648514127,0.8185877257607215,0.3170254403131116,0.5177346022422411,0.49978913011588677
"frozenset({'word', 'excel'})",frozenset({'powerpoint'}),0.12640901771336555,0.17954911433172302,0.07971014492753623,0.6305732484076432,3.5119819485304613,1.0,0.057013517753558354,2.220875673274473,0.8187590187590187,0.3523131672597864,0.5497271585105916,0.5372597183742251
"frozenset({'word', 'excel'})","frozenset({'powerpoint', 'communication'})",0.12640901771336555,0.14855072463768115,0.06521739130434782,0.5159235668789809,3.473046450209725,1.0,0.0464392401222899,1.7589149504195272,0.8151049667178699,0.31094049904030713,0.4314676785472286,0.4774739785614417
"frozenset({'word', 'excel', 'communication'})",frozenset({'powerpoint'}),0.10507246376811594,0.17954911433172302,0.06521739130434782,0.6206896551724138,3.4569352095252825,1.0,0.04635172349413055,2.163006880398185,0.794172039786075,0.29724770642201837,0.5376806199451796,0.4919591773619917
"frozenset({'leadership', 'teamwork'})","frozenset({'time management', 'communication'})",0.09541062801932366,0.1747181964573269,0.05756843800322061,0.6033755274261604,3.4534212214898212,1.0,0.040898465152823485,2.080763696166102,0.7853641685417386,0.27083333333333337,0.5194072244519914,0.4664343074918821
frozenset({'word'}),frozenset({'powerpoint'}),0.1320450885668277,0.17954911433172302,0.08172302737520129,0.6189024390243902,3.446981297167232,1.0,0.058014448671173446,2.1528631239935585,0.8178893590575504,0.3555166374781086,0.5355022858373824,0.537029694848518
frozenset({'word'}),"frozenset({'powerpoint', 'communication'})",0.1320450885668277,0.14855072463768115,0.06682769726247988,0.5060975609756098,3.4069006543723974,1.0,0.04721230367103084,1.7239219896224727,0.8139571272101394,0.31261770244821097,0.41992734820965233,0.4779810298102981
