support,itemsets
0.06320450885668277,frozenset({'accounting'})
0.1892109500805153,frozenset({'adaptability'})
0.1747181964573269,frozenset({'attention to detail'})
0.08252818035426732,frozenset({'budgeting'})
0.07528180354267311,frozenset({'coaching'})
0.14371980676328502,frozenset({'collaboration'})
0.8011272141706924,frozenset({'communication'})
0.11594202898550725,frozenset({'conflict resolution'})
0.07125603864734299,frozenset({'creativity'})
0.07407407407407407,frozenset({'critical thinking'})
0.2834138486312399,frozenset({'customer service'})
0.09903381642512077,frozenset({'data analysis'})
0.13003220611916264,frozenset({'data entry'})
0.0535426731078905,frozenset({'database'})
0.48389694041867953,frozenset({'excel'})
0.05837359098228664,frozenset({'flexibility'})
0.05636070853462158,frozenset({'html'})
0.08373590982286634,frozenset({'interpersonal'})
0.08413848631239935,frozenset({'inventory management'})
0.5483091787439613,frozenset({'leadership'})
0.3329307568438003,frozenset({'microsoft office'})
0.06360708534621579,frozenset({'microsoft word'})
0.11312399355877617,frozenset({'negotiation'})
0.05152979066022544,frozenset({'oracle'})
0.24436392914653784,frozenset({'organization'})
0.09460547504025765,frozenset({'payroll'})
0.17954911433172302,frozenset({'powerpoint'})
0.3788244766505636,frozenset({'problem solving'})
0.23027375201288244,frozenset({'project management'})
0.055152979066022546,frozenset({'sap'})
0.059178743961352656,frozenset({'sql'})
0.1928341384863124,frozenset({'teamwork'})
0.21739130434782608,frozenset({'time management'})
0.1320450885668277,frozenset({'word'})
0.0535426731078905,"frozenset({'accounting', 'communication'})"
0.08172302737520129,"frozenset({'attention to detail', 'adaptability'})"
0.05676328502415459,"frozenset({'collaboration', 'adaptability'})"
0.1710950080515298,"frozenset({'communication', 'adaptability'})"
0.09420289855072464,"frozenset({'customer service', 'adaptability'})"
0.05394524959742351,"frozenset({'excel', 'adaptability'})"
0.12198067632850242,"frozenset({'leadership', 'adaptability'})"
0.07648953301127215,"frozenset({'problem solving', 'adaptability'})"
0.14895330112721417,"frozenset({'communication', 'attention to detail'})"
0.10144927536231885,"frozenset({'customer service', 'attention to detail'})"
0.0640096618357488,"frozenset({'excel', 'attention to detail'})"
0.10426731078904992,"frozenset({'leadership', 'attention to detail'})"
0.05434782608695652,"frozenset({'attention to detail', 'microsoft office'})"
0.08776167471819646,"frozenset({'problem solving', 'attention to detail'})"
0.07206119162640902,"frozenset({'budgeting', 'communication'})"
0.05756843800322061,"frozenset({'budgeting', 'leadership'})"
0.06723027375201288,"frozenset({'coaching', 'communication'})"
0.052737520128824475,"frozenset({'coaching', 'leadership'})"
0.12439613526570048,"frozenset({'collaboration', 'communication'})"
0.050724637681159424,"frozenset({'collaboration', 'excel'})"
0.09420289855072464,"frozenset({'leadership', 'collaboration'})"
0.05112721417069243,"frozenset({'problem solving', 'collaboration'})"
0.09219001610305957,"frozenset({'conflict resolution', 'communication'})"
0.0644122383252818,"frozenset({'creativity', 'communication'})"
0.05555555555555555,"frozenset({'critical thinking', 'communication'})"
0.23832528180354268,"frozenset({'customer service', 'communication'})"
0.0821256038647343,"frozenset({'data analysis', 'communication'})"
0.10748792270531402,"frozenset({'communication', 'data entry'})"
0.3965378421900161,"frozenset({'excel', 'communication'})"
0.05152979066022544,"frozenset({'flexibility', 'communication'})"
0.071658615136876,"frozenset({'interpersonal', 'communication'})"
0.07004830917874397,"frozenset({'inventory management', 'communication'})"
0.464573268921095,"frozenset({'leadership', 'communication'})"
0.26811594202898553,"frozenset({'communication', 'microsoft office'})"
0.0893719806763285,"frozenset({'negotiation', 'communication'})"
0.19887278582930756,"frozenset({'communication', 'organization'})"
0.07608695652173914,"frozenset({'payroll', 'communication'})"
0.14855072463768115,"frozenset({'powerpoint', 'communication'})"
0.31843800322061194,"frozenset({'problem solving', 'communication'})"
0.18961352657004832,"frozenset({'communication', 'project management'})"
0.17753623188405798,"frozenset({'teamwork', 'communication'})"
0.1747181964573269,"frozenset({'time management', 'communication'})"
0.10950080515297907,"frozenset({'word', 'communication'})"
