model,category,f1
tfidf_linearsvc,ACCOUNTANT,0.8
tfidf_linearsvc,ADVOCATE,0.6470588235294118
tfidf_linearsvc,AGRICULTURE,0.8
tfidf_linearsvc,APPAREL,0.5217391304347826
tfidf_linearsvc,ARTS,0.38095238095238093
tfidf_linearsvc,AUTOMOBILE,0.25
tfidf_linearsvc,AVIATION,0.8125
tfidf_linearsvc,BANKING,0.7647058823529411
tfidf_linearsvc,BPO,0.0
tfidf_linearsvc,BUSINESS-DEVELOPMENT,0.7391304347826086
tfidf_linearsvc,CHEF,0.75
tfidf_linearsvc,CONSTRUCTION,0.7878787878787878
tfidf_linearsvc,CONSULTANT,0.4
tfidf_linearsvc,DESIGNER,0.9411764705882353
tfidf_linearsvc,DIGITAL-MEDIA,0.6896551724137931
tfidf_linearsvc,ENGINEERING,0.7692307692307693
tfidf_linearsvc,FINANCE,0.8571428571428571
tfidf_linearsvc,FITNESS,0.7428571428571429
tfidf_linearsvc,HEALTHCARE,0.7567567567567568
tfidf_linearsvc,HR,0.8888888888888888
tfidf_linearsvc,INFORMATION-TECHNOLOGY,0.9230769230769231
tfidf_linearsvc,PUBLIC-RELATIONS,0.6857142857142857
tfidf_linearsvc,SALES,0.5116279069767442
tfidf_linearsvc,TEACHER,0.5555555555555556
sbert_rf,ACCOUNTANT,0.8947368421052632
sbert_rf,ADVOCATE,0.5
sbert_rf,AGRICULTURE,0.875
sbert_rf,APPAREL,0.36363636363636365
sbert_rf,ARTS,0.19047619047619047
sbert_rf,AUTOMOBILE,0.0
sbert_rf,AVIATION,0.7777777777777778
sbert_rf,BANKING,0.6486486486486487
sbert_rf,BPO,0.0
sbert_rf,BUSINESS-DEVELOPMENT,0.8421052631578947
sbert_rf,CHEF,0.8235294117647058
sbert_rf,CONSTRUCTION,0.6875
sbert_rf,CONSULTANT,0.7647058823529411
sbert_rf,DESIGNER,0.8125
sbert_rf,DIGITAL-MEDIA,0.5714285714285714
sbert_rf,ENGINEERING,0.7058823529411765
sbert_rf,FINANCE,0.8125
sbert_rf,FITNESS,0.5806451612903226
sbert_rf,HEALTHCARE,0.5581395348837209
sbert_rf,HR,0.8648648648648649
sbert_rf,INFORMATION-TECHNOLOGY,0.7441860465116279
sbert_rf,PUBLIC-RELATIONS,0.5
sbert_rf,SALES,0.6976744186046512
sbert_rf,TEACHER,0.6666666666666666
sbert_linearsvc,ACCOUNTANT,0.9473684210526315
sbert_linearsvc,ADVOCATE,0.6857142857142857
sbert_linearsvc,AGRICULTURE,0.7368421052631579
sbert_linearsvc,APPAREL,0.47619047619047616
sbert_linearsvc,ARTS,0.3333333333333333
sbert_linearsvc,AUTOMOBILE,0.4
sbert_linearsvc,AVIATION,0.6666666666666666
sbert_linearsvc,BANKING,0.7272727272727273
sbert_linearsvc,BPO,0.25
sbert_linearsvc,BUSINESS-DEVELOPMENT,0.9473684210526315
sbert_linearsvc,CHEF,0.8484848484848485
sbert_linearsvc,CONSTRUCTION,0.7878787878787878
sbert_linearsvc,CONSULTANT,0.9444444444444444
sbert_linearsvc,DESIGNER,0.7878787878787878
sbert_linearsvc,DIGITAL-MEDIA,0.7407407407407407
sbert_linearsvc,ENGINEERING,0.8823529411764706
sbert_linearsvc,FINANCE,0.9714285714285714
sbert_linearsvc,FITNESS,0.5294117647058824
sbert_linearsvc,HEALTHCARE,0.7
sbert_linearsvc,HR,0.9411764705882353
sbert_linearsvc,INFORMATION-TECHNOLOGY,0.8421052631578947
sbert_linearsvc,PUBLIC-RELATIONS,0.6666666666666666
sbert_linearsvc,SALES,0.8421052631578947
sbert_linearsvc,TEACHER,0.7222222222222222
