JobID,ranked_resume_ids,matched_categories,category_rerank_applied
NET-F-001,"[""26746496"", ""16186411"", ""12763627"", ""20674668"", ""28126340"", ""83816738"", ""13385306"", ""10089434"", ""36434348"", ""70089206""]","[""INFORMATION-TECHNOLOGY""]",True
NET-F-002,"[""26746496"", ""16186411"", ""12763627"", ""28126340"", ""20674668"", ""10089434"", ""83816738"", ""36434348"", ""13385306"", ""10641230""]","[""INFORMATION-TECHNOLOGY""]",True
NET-F-003,"[""26746496"", ""16186411"", ""12763627"", ""28126340"", ""10089434"", ""20674668"", ""83816738"", ""36434348"", ""13385306"", ""70089206""]","[""INFORMATION-TECHNOLOGY""]",True
NET-F-004,"[""26746496"", ""16186411"", ""12763627"", ""28126340"", ""20674668"", ""36434348"", ""13385306"", ""83816738"", ""10089434"", ""30223363""]","[""INFORMATION-TECHNOLOGY""]",True
NET-F-005,"[""26746496"", ""16186411"", ""12763627"", ""28126340"", ""20674668"", ""83816738"", ""36434348"", ""13385306"", ""10089434"", ""30223363""]","[""INFORMATION-TECHNOLOGY""]",True
NET-F-006,"[""26746496"", ""16186411"", ""12763627"", ""10089434"", ""20674668"", ""28126340"", ""13385306"", ""83816738"", ""36434348"", ""70089206""]","[""INFORMATION-TECHNOLOGY""]",True
NET-F-007,"[""26746496"", ""16186411"", ""12763627"", ""28126340"", ""13385306"", ""36434348"", ""10089434"", ""20674668"", ""30223363"", ""11580408""]","[""INFORMATION-TECHNOLOGY""]",True
NET-F-008,"[""26746496"", ""16186411"", ""12763627"", ""28126340"", ""36434348"", ""13385306"", ""20674668"", ""83816738"", ""10089434"", ""30223363""]","[""INFORMATION-TECHNOLOGY""]",True
NET-F-009,"[""26746496"", ""16186411"", ""12763627"", ""28126340"", ""36434348"", ""20674668"", ""13385306"", ""10089434"", ""11580408"", ""30223363""]","[""INFORMATION-TECHNOLOGY""]",True
NET-F-010,"[""26746496"", ""16186411"", ""12763627"", ""83816738"", ""10089434"", ""28126340"", ""13385306"", ""36434348"", ""20674668"", ""70089206""]","[""INFORMATION-TECHNOLOGY""]",True
NET-E-011,"[""10089434"", ""26746496"", ""12763627"", ""16186411"", ""83816738"", ""13385306"", ""28126340"", ""11580408"", ""20674668"", ""36434348""]","[""INFORMATION-TECHNOLOGY""]",True
NET-E-012,"[""26746496"", ""16186411"", ""12763627"", ""10089434"", ""13385306"", ""28126340"", ""36434348"", ""83816738"", ""36856210"", ""70089206""]","[""INFORMATION-TECHNOLOGY""]",True
NET-E-013,"[""10089434"", ""83816738"", ""12763627"", ""26746496"", ""16186411"", ""13385306"", ""28897981"", ""33381211"", ""11580408"", ""57002858""]","[""INFORMATION-TECHNOLOGY""]",True
NET-E-014,"[""26746496"", ""16186411"", ""83816738"", ""10089434"", ""28126340"", ""12763627"", ""20674668"", ""11580408"", ""30223363"", ""36434348""]","[""INFORMATION-TECHNOLOGY""]",True
NET-E-015,"[""26746496"", ""12763627"", ""16186411"", ""28126340"", ""20674668"", ""10089434"", ""11580408"", ""13385306"", ""36434348"", ""83816738""]","[""INFORMATION-TECHNOLOGY""]",True
NET-E-016,"[""10089434"", ""83816738"", ""12763627"", ""26746496"", ""20674668"", ""16186411"", ""13385306"", ""70089206"", ""28897981"", ""57002858""]","[""INFORMATION-TECHNOLOGY""]",True
NET-E-017,"[""10089434"", ""26746496"", ""16186411"", ""28126340"", ""11580408"", ""83816738"", ""13385306"", ""12763627"", ""57002858"", ""66832845""]","[""INFORMATION-TECHNOLOGY""]",True
NET-E-018,"[""10089434"", ""57002858"", ""27295996"", ""13385306"", ""83816738"", ""10553553"", ""33381211"", ""21283365"", ""16186411"", ""23864648""]","[""INFORMATION-TECHNOLOGY""]",True
NET-E-019,"[""10089434"", ""26746496"", ""12763627"", ""16186411"", ""83816738"", ""20674668"", ""28126340"", ""13385306"", ""70089206"", ""57002858""]","[""INFORMATION-TECHNOLOGY""]",True
NET-E-020,"[""10089434"", ""83816738"", ""12763627"", ""28897981"", ""26746496"", ""57002858"", ""11580408"", ""13385306"", ""16186411"", ""20674668""]","[""INFORMATION-TECHNOLOGY""]",True
AI001,"[""83816738"", ""79541391"", ""10641230"", ""20408458"", ""20237244"", ""20674668"", ""20001721"", ""30223363"", ""16186411"", ""11584809""]","[""INFORMATION-TECHNOLOGY""]",True
AI002,"[""83816738"", ""20408458"", ""79541391"", ""57002858"", ""30223363"", ""46260230"", ""11584809"", ""10641230"", ""19201175"", ""17987433""]","[""INFORMATION-TECHNOLOGY""]",True
AI003,"[""12011623"", ""50328713"", ""24647794"", ""21298336"", ""28505854"", ""83816738"", ""32985311"", ""35172961"", ""79541391"", ""54227873""]","[""ENGINEERING"", ""INFORMATION-TECHNOLOGY""]",True
AI004,"[""83816738"", ""20408458"", ""79541391"", ""30223363"", ""10641230"", ""46260230"", ""19201175"", ""16186411"", ""11584809"", ""20237244""]","[""INFORMATION-TECHNOLOGY""]",True
AI005,"[""83816738"", ""79541391"", ""20408458"", ""20237244"", ""46260230"", ""16186411"", ""30223363"", ""10641230"", ""11584809"", ""20001721""]","[""INFORMATION-TECHNOLOGY""]",True
AI006,"[""50328713"", ""12011623"", ""24647794"", ""28505854"", ""21298336"", ""83816738"", ""19396040"", ""20408458"", ""27152464"", ""26456899""]","[""ENGINEERING"", ""INFORMATION-TECHNOLOGY""]",True
AI007,"[""79541391"", ""83816738"", ""20408458"", ""30223363"", ""20001721"", ""10641230"", ""11584809"", ""16186411"", ""19201175"", ""46260230""]","[""INFORMATION-TECHNOLOGY""]",True
AI008,"[""20408458"", ""83816738"", ""79541391"", ""20237244"", ""10641230"", ""30223363"", ""16186411"", ""46260230"", ""31243710"", ""57002858""]","[""INFORMATION-TECHNOLOGY""]",True
AI009,"[""83816738"", ""79541391"", ""20408458"", ""30223363"", ""11584809"", ""16186411"", ""10641230"", ""46260230"", ""26746496"", ""20674668""]","[""INFORMATION-TECHNOLOGY""]",True
AI010,"[""11584809"", ""33381211"", ""20824105"", ""31243710"", ""79541391"", ""83816738"", ""19201175"", ""26768723"", ""11580408"", ""16533554""]","[""INFORMATION-TECHNOLOGY""]",True
AI011,"[""11584809"", ""20824105"", ""33381211"", ""79541391"", ""31243710"", ""83816738"", ""11580408"", ""16533554"", ""57002858"", ""90867631""]","[""INFORMATION-TECHNOLOGY""]",True
AI012,"[""21298336"", ""28505854"", ""11584809"", ""83816738"", ""33381211"", ""24647794"", ""25797445"", ""27152464"", ""54227873"", ""47919212""]","[""ENGINEERING"", ""INFORMATION-TECHNOLOGY""]",True
AI013,"[""11584809"", ""33381211"", ""31243710"", ""26768723"", ""83816738"", ""20824105"", ""16533554"", ""79541391"", ""19201175"", ""11580408""]","[""INFORMATION-TECHNOLOGY""]",True
